name	trunc_len_f	trunc_len_r
F280_R270	280	270
F280_R260	280	260
F280_R250	280	250
F280_R240	280	240
F280_R230	280	230
F270_R260	270	260
F270_R250	270	250
F270_R240	270	240
F270_R230	270	230
F260_R250	260	250
